chinese,original,kana,category,difficulty,input_date,next_review_date,review_count,mastery_level,created_at,updated_at
流畅的，流利的,流暢,りゅうちょう,,1,2026-04-22,,0,0,1776848751,1776848751
打破，破坏；打败，击败,打ち破る,うちやぶる,,1,2026-04-22,,0,0,1776848751,1776848751
容貌，五官,顔立ち,かおだち,,1,2026-04-22,,0,0,1776849720,1776849720
裁缝,裁縫,さいほう,,1,2026-04-22,,0,0,1776849720,1776849720
经常，总是,しょっちゅう,しょっちゅう,,1,2026-04-22,,0,0,1776849720,1776849720
陈列，展示，展览,ディスプレイ,でぃすぷれい,,1,2026-04-22,,0,0,1776849720,1776849720
人质,ひとじち,ひとじち,,1,2026-04-22,,0,0,1776849720,1776849720
炫耀，卖弄,見せびらかす,みせびらかす,,1,2026-04-22,,0,0,1776849720,1776849720
木耳,木耳,きくらげ,,1,2026-04-22,,0,0,1776849720,1776849720
私人物品,私物,しぶつ,,1,2026-04-22,,0,0,1776849720,1776849720
一举，一下子,一挙に,いっきょに,,1,2026-04-22,,0,0,1776849720,1776849720
贪污，渎职,汚職,おしょく,,1,2026-04-22,,0,0,1776849720,1776849720
（佛教用语）修行；学习（学问、技艺）,修行,しゅぎょう,,1,2026-04-22,,0,0,1776850747,1776850747
垫付，代付,立て替える,たてかえる,,1,2026-04-22,,0,0,1776850747,1776850747
递交接力棒；交接（工作）,バトンタッチ,ばとんたっち,,1,2026-04-22,,0,0,1776850747,1776850747
看点；前途；可取之处,見所,みどころ,,1,2026-04-22,,0,0,1776852664,1776852664
麻烦的，复杂的；难办的,ややこしい,ややこしい,,1,2026-04-22,,0,0,1776852664,1776852664
囫囵吞枣,鵜呑み,うのみ,,1,2026-04-22,,0,0,1776852664,1776852664
接班人，继承者；后嗣,跡継ぎ,あとづき,,1,2026-04-22,,0,0,1776852664,1776852664
放置，让……坐在……位置……；让……就……职位；沉着,据える,すえる,,1,2026-04-22,,0,0,1776852664,1776852664
代代相传，传承,伝承,でんしょう,,1,2026-04-22,,0,0,1776852664,1776852664
悲鸣，惨叫，叫苦声,悲鳴,ひめい,,1,2026-04-22,,0,0,1776852664,1776852664
混淆，混杂，混进，（因忙碌）忘怀,紛れる,まぎれる,,1,2026-04-22,,0,0,1776852664,1776852664
筹款，借贷，随机应变,融通,ゆうずう,,1,2026-04-22,,0,0,1776852664,1776852664
橄榄球,ラグビー,らぐびー,,1,2026-04-22,,0,0,1776852664,1776852664
